,date,pred_Y,pred_Y_ratio,raw_Y,raw_lag,target_Y_ratio,cost,revenue,profit,benchmark_profit,abs_error,timeline,month
365,2012-01-01,2290.905657708645,-0.23611015,2294,2999.0,-0.235,4581.81131541729,6872.716973125935,2290.905657708645,884.0,3.094342291355133,2012-01-01,1
366,2012-01-02,2615.9453868865967,0.05269426,1951,2485.0,-0.215,5231.890773773193,5853.0,621.1092262268066,883.0,664.9453868865967,2012-01-02,1
367,2012-01-03,2449.1263856887817,0.06762272,2236,2294.0,-0.025,4898.2527713775635,6708.0,1809.7472286224365,2120.0,213.12638568878174,2012-01-03,1
368,2012-01-04,1961.7629808187485,0.0055166483,2368,1951.0,0.214,3923.525961637497,5885.288942456245,1961.7629808187485,1951.0,406.2370191812515,2012-01-04,1
369,2012-01-05,2897.777642250061,0.29596502,3272,2236.0,0.463,5795.555284500122,8693.332926750183,2897.777642250061,2236.0,374.22235774993896,2012-01-05,1
370,2012-01-06,3012.8306884765625,0.27231032,4098,2368.0,0.731,6025.661376953125,9038.492065429688,3012.8306884765625,2368.0,1085.1693115234375,2012-01-06,1
371,2012-01-07,2944.0264472961426,-0.100236416,4521,3272.0,0.382,5888.052894592285,8832.079341888428,2944.0264472961426,3272.0,1576.9735527038574,2012-01-07,1
372,2012-01-08,2897.1048295497894,-0.2930442,3425,4098.0,-0.164,5794.209659099579,8691.314488649368,2897.1048295497894,2079.0,527.8951704502106,2012-01-08,1
373,2012-01-09,2498.1616281867027,-0.44743162,2376,4521.0,-0.474,4996.3232563734055,7128.0,2131.6767436265945,-1914.0,122.16162818670273,2012-01-09,1
374,2012-01-10,3463.564795255661,0.011259764,3598,3425.0,0.051,6927.129590511322,10390.694385766983,3463.564795255661,3425.0,134.435204744339,2012-01-10,1
375,2012-01-11,1797.176067352295,-0.24361277,2177,2376.0,-0.084,3594.35213470459,5391.528202056885,1797.176067352295,1779.0,379.8239326477051,2012-01-11,1
376,2012-01-12,3137.441984772682,-0.1280039,4097,3598.0,0.139,6274.883969545364,9412.325954318047,3137.441984772682,3598.0,959.5580152273178,2012-01-12,1
377,2012-01-13,2946.5848302841187,0.35350707,3214,2177.0,0.476,5893.169660568237,8839.754490852356,2946.5848302841187,2177.0,267.41516971588135,2012-01-13,1
378,2012-01-14,2873.5153354406357,-0.2986294,2493,4097.0,-0.392,5747.030670881271,7479.0,1731.9693291187286,-715.0,380.5153354406357,2012-01-14,1
379,2012-01-15,2527.538706421852,-0.21358472,2311,3214.0,-0.281,5055.077412843704,6933.0,1877.9225871562958,505.0,216.5387064218521,2012-01-15,1
380,2012-01-16,2555.301462650299,0.024990588,2298,2493.0,-0.078,5110.602925300598,6894.0,1783.3970746994019,1908.0,257.3014626502991,2012-01-16,1
381,2012-01-17,3003.579751968384,0.2996884,2935,2311.0,0.27,6007.159503936768,8805.0,2797.8404960632324,2311.0,68.57975196838379,2012-01-17,1
382,2012-01-18,2716.928074121475,0.18230113,3376,2298.0,0.469,5433.85614824295,8150.784222364426,2716.928074121475,2298.0,659.0719258785248,2012-01-18,1
383,2012-01-19,2311.5217977762222,-0.21242869,3292,2935.0,0.122,4623.0435955524445,6934.565393328667,2311.5217977762222,2935.0,980.4782022237778,2012-01-19,1
384,2012-01-20,2623.533758163452,-0.22288692,3163,3376.0,-0.063,5247.067516326904,7870.601274490356,2623.533758163452,2737.0,539.4662418365479,2012-01-20,1
385,2012-01-21,1613.1153507232666,-0.50998926,1301,3292.0,-0.605,3226.230701446533,3903.0,676.7692985534668,-2681.0,312.1153507232666,2012-01-21,1
386,2012-01-22,1782.4196496009827,-0.43647814,1977,3163.0,-0.375,3564.8392992019653,5347.258948802948,1782.4196496009827,-395.0,194.58035039901733,2012-01-22,1
387,2012-01-23,2430.9209740161896,0.86850196,2432,1301.0,0.869,4861.841948032379,7292.762922048569,2430.9209740161896,1301.0,1.0790259838104248,2012-01-23,1
388,2012-01-24,2592.018316268921,0.3110867,4339,1977.0,1.195,5184.036632537842,7776.054948806763,2592.018316268921,1977.0,1746.981683731079,2012-01-24,1
389,2012-01-25,2410.182731628418,-0.008970916,4270,2432.0,0.756,4820.365463256836,7230.548194885254,2410.182731628418,2432.0,1859.817268371582,2012-01-25,1
390,2012-01-26,3371.235713362694,-0.22303855,4075,4339.0,-0.061,6742.471426725388,10113.707140088081,3371.235713362694,3547.0,703.7642866373062,2012-01-26,1
391,2012-01-27,3477.0625299215317,-0.18569964,3456,4270.0,-0.191,6954.125059843063,10368.0,3413.8749401569366,1828.0,21.062529921531677,2012-01-27,1
392,2012-01-28,3063.65155428648,-0.24818367,4023,4075.0,-0.013,6127.30310857296,9190.95466285944,3063.65155428648,3919.0,959.34844571352,2012-01-28,1
393,2012-01-29,3032.262405395508,-0.12260926,3243,3456.0,-0.062,6064.524810791016,9096.787216186523,3032.262405395508,2817.0,210.7375946044922,2012-01-29,1
394,2012-01-30,3243.343429863453,-0.1937998,3624,4023.0,-0.099,6486.686859726906,9730.030289590359,3243.343429863453,2826.0,380.6565701365471,2012-01-30,1
395,2012-01-31,4083.516711115837,0.25917876,4509,3243.0,0.39,8167.033422231674,12250.550133347511,4083.516711115837,3243.0,425.4832888841629,2012-01-31,1
