dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,regist,cnt,casual_lag2,regist_lag2,cnt_lag2,temp_inc,casual_avg_aheadWeek,regist_avg_aheadWeek,cnt_avg_aheadWeek,casual_avg_ahead3days,regist_avg_ahead3days,cnt_avg_ahead3days,casual_avg_aheadMonth,regist_avg_aheadMonth,cnt_avg_aheadMonth,casual_median_LastWeek,regist_median_LastWeek,cnt_median_LastWeek,casual_inc_ratio_monthly,regist_inc_ratio_monthly,cnt_inc_ratio_monthly,casual_inc_ratio_weekly,regist_inc_ratio_weekly,cnt_inc_ratio_weekly,casual_inc_ratio,regist_inc_ratio,cnt_inc_ratio
2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-02,1,0,1,0,0,0,2,0.363478,0.35373899999999997,0.696087,0.24853899999999998,131,670,801,,,,0.056,,,,,,,,,,,,,,,,,,,,,
2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.43727299999999997,0.248309,120,1229,1349,331.0,654.0,985.0,-0.46,331.0,654.0,985.0,331.0,654.0,985.0,331.0,654.0,985.0,331.0,654.0,985.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.637,0.879,0.37
2011-01-04,1,0,1,0,2,1,1,0.2,0.21212199999999998,0.590435,0.160296,108,1454,1562,131.0,670.0,801.0,0.019,231.0,662.0,893.0,231.0,662.0,893.0,231.0,662.0,893.0,231.0,662.0,893.0,-0.433,0.012,-0.103,-0.433,0.012,-0.103,-0.176,1.17,0.95
2011-01-05,1,0,1,0,3,1,1,0.22695700000000002,0.22926999999999997,0.436957,0.1869,82,1518,1600,120.0,1229.0,1349.0,0.135,194.0,851.0,1045.0,194.0,851.0,1045.0,194.0,851.0,1045.0,131.0,670.0,985.0,-0.381,0.444,0.291,-0.381,0.444,0.291,-0.317,0.235,0.186
2011-01-06,1,0,1,0,4,1,1,0.204348,0.23320900000000003,0.518261,0.0895652,88,1518,1606,108.0,1454.0,1562.0,-0.1,172.5,1001.75,1174.25,172.5,1001.75,1174.25,172.5,1001.75,1174.25,125.5,949.5,1167.0,-0.374,0.451,0.33,-0.374,0.451,0.33,-0.185,0.044,0.028
2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.49869600000000003,0.168726,148,1362,1510,82.0,1518.0,1600.0,-0.038,154.4,1105.0,1259.4,154.4,1105.0,1259.4,154.4,1105.0,1259.4,120.0,1229.0,1349.0,-0.469,0.374,0.27,-0.469,0.374,0.27,0.805,-0.103,-0.056
2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,88.0,1518.0,1606.0,-0.16,143.333,1173.833,1317.167,105.8,1277.8,1383.6,143.333,1173.833,1317.167,114.0,1341.5,1455.5,-0.386,0.293,0.219,-0.386,0.293,0.219,-0.227,-0.413,-0.403
2011-01-09,1,0,1,0,0,0,1,0.13833299999999998,0.116175,0.434167,0.36195,54,768,822,148.0,1362.0,1510.0,-0.162,144.0,1200.714,1344.714,109.2,1416.2,1525.4,144.0,1200.714,1344.714,120.0,1362.0,1510.0,0.028,0.134,0.123,0.028,0.134,0.123,-0.635,-0.436,-0.456
2011-01-10,1,0,1,0,1,1,1,0.150833,0.15088800000000002,0.482917,0.22326700000000002,41,1280,1321,68.0,891.0,959.0,0.09,106.429,1234.571,1341.0,98.8,1348.6,1447.4,134.5,1162.0,1296.5,108.0,1362.0,1510.0,-0.494,-0.233,-0.26,-0.361,-0.278,-0.285,-0.397,0.437,0.377
